0.26962998E-05 -0.70437003E-03 0.42997999E-03 
0.46426001E-04 -0.72120997E-03 0.42277001E-03 
0.78873003E-04 -0.73401997E-03 0.41269997E-03 
0.11961000E-03 -0.73858997E-03 0.39719997E-03 
0.16287000E-03 -0.73782000E-03 0.37831999E-03 
0.20808999E-03 -0.72982995E-03 0.35498998E-03 
0.25483998E-03 -0.71145000E-03 0.32555001E-03 
0.30201001E-03 -0.68670994E-03 0.29249999E-03 
0.34944000E-03 -0.65353996E-03 0.25471000E-03 
0.39589999E-03 -0.60911995E-03 0.21084001E-03 
0.44121998E-03 -0.55813999E-03 0.16350999E-03 
0.48474997E-03 -0.49867999E-03 0.11174999E-03 
0.52457000E-03 -0.42873001E-03 0.54711996E-04 
0.56164997E-03 -0.35304000E-03 -0.51520001E-05 
0.59487997E-03 -0.27014001E-03 -0.68522997E-04 
0.61848998E-03 -0.17927999E-03 -0.13558001E-03 
0.64812996E-03 -0.85259002E-04 -0.20408000E-03 
0.66515000E-03 0.14696000E-04 -0.27511999E-03 
0.67585998E-03 0.11797000E-03 -0.34743999E-03 
0.67996996E-03 0.22332999E-03 -0.42035998E-03 
0.67734998E-03 0.32947998E-03 -0.49322000E-03 
0.66780997E-03 0.43508000E-03 -0.56531001E-03 
0.65151998E-03 0.53880998E-03 -0.63596998E-03 
0.62860997E-03 0.63934998E-03 -0.70449000E-03 
0.59935998E-03 0.73540001E-03 -0.77022996E-03 
0.55524998E-03 0.82396000E-03 -0.83149993E-03 
0.52164000E-03 0.90864999E-03 -0.89049997E-03 
0.47625997E-03 0.98369992E-03 -0.94387995E-03 
0.42714999E-03 0.10502000E-02 -0.99231000E-03 
0.37543999E-03 0.11098000E-02 -0.10368000E-02 
0.32031999E-03 0.11571000E-02 -0.10741999E-02 
0.26380998E-03 0.11944999E-02 -0.11057999E-02 
0.20647999E-03 0.12243000E-02 -0.11329000E-02 
0.14890000E-03 0.12409999E-02 -0.11522999E-02 
0.92276998E-04 0.12480000E-02 -0.11659000E-02 
0.36635000E-04 0.12476000E-02 -0.11749000E-02 
-0.16369999E-04 0.12355000E-02 -0.11765000E-02 
-0.66446999E-04 0.12152001E-02 -0.11729000E-02 
-0.11316000E-03 0.11889000E-02 -0.11652000E-02 
