   z        r        Bz       Br       Btot
 132.000    0.000  0.02825  0.00000  0.02825
 133.000    0.000  0.02762  0.00000  0.02762
 134.000    0.000  0.02701  0.00000  0.02701
 135.000    0.000  0.02642  0.00000  0.02642
 136.000    0.000  0.02584  0.00000  0.02584
 137.000    0.000  0.02528  0.00000  0.02528
 138.000    0.000  0.02473  0.00000  0.02473
 139.000    0.000  0.02421  0.00000  0.02421
 140.000    0.000  0.02369  0.00000  0.02369
 141.000    0.000  0.02319  0.00000  0.02319
 142.000    0.000  0.02271  0.00000  0.02271
 143.000    0.000  0.02223  0.00000  0.02223
 144.000    0.000  0.02178  0.00000  0.02178
 145.000    0.000  0.02133  0.00000  0.02133
 146.000    0.000  0.02089  0.00000  0.02089
 147.000    0.000  0.02047  0.00000  0.02047
 148.000    0.000  0.02006  0.00000  0.02006
 149.000    0.000  0.01966  0.00000  0.01966
 150.000    0.000  0.01927  0.00000  0.01927
 151.000    0.000  0.01889  0.00000  0.01889
 152.000    0.000  0.01852  0.00000  0.01852
 153.000    0.000  0.01816  0.00000  0.01816
 154.000    0.000  0.01781  0.00000  0.01781
 155.000    0.000  0.01747  0.00000  0.01747
 156.000    0.000  0.01713  0.00000  0.01713
 157.000    0.000  0.01681  0.00000  0.01681
 158.000    0.000  0.01649  0.00000  0.01649
 159.000    0.000  0.01618  0.00000  0.01618
 160.000    0.000  0.01588  0.00000  0.01588
 161.000    0.000  0.01559  0.00000  0.01559
 162.000    0.000  0.01530  0.00000  0.01530
 163.000    0.000  0.01502  0.00000  0.01502
 164.000    0.000  0.01475  0.00000  0.01475
 165.000    0.000  0.01448  0.00000  0.01448
 166.000    0.000  0.01422  0.00000  0.01422
 167.000    0.000  0.01397  0.00000  0.01397
 168.000    0.000  0.01372  0.00000  0.01372
 169.000    0.000  0.01348  0.00000  0.01348
 170.000    0.000  0.01324  0.00000  0.01324
 171.000    0.000  0.01301  0.00000  0.01301
 172.000    0.000  0.01279  0.00000  0.01279
 173.000    0.000  0.01257  0.00000  0.01257
 174.000    0.000  0.01235  0.00000  0.01235
 175.000    0.000  0.01214  0.00000  0.01214
 176.000    0.000  0.01194  0.00000  0.01194
 177.000    0.000  0.01173  0.00000  0.01173
 178.000    0.000  0.01154  0.00000  0.01154
 179.000    0.000  0.01135  0.00000  0.01135
 180.000    0.000  0.01116  0.00000  0.01116
 181.000    0.000  0.01097  0.00000  0.01097
 182.000    0.000  0.01079  0.00000  0.01079
 183.000    0.000  0.01062  0.00000  0.01062
 184.000    0.000  0.01045  0.00000  0.01045
 185.000    0.000  0.01028  0.00000  0.01028
 186.000    0.000  0.01011  0.00000  0.01011
 187.000    0.000  0.00995  0.00000  0.00995
 188.000    0.000  0.00979  0.00000  0.00979
 189.000    0.000  0.00964  0.00000  0.00964
 190.000    0.000  0.00949  0.00000  0.00949
 191.000    0.000  0.00934  0.00000  0.00934
 192.000    0.000  0.00919  0.00000  0.00919
 193.000    0.000  0.00905  0.00000  0.00905
 194.000    0.000  0.00891  0.00000  0.00891
 195.000    0.000  0.00878  0.00000  0.00878
 196.000    0.000  0.00864  0.00000  0.00864
 197.000    0.000  0.00851  0.00000  0.00851
 198.000    0.000  0.00838  0.00000  0.00838
 199.000    0.000  0.00826  0.00000  0.00826
 200.000    0.000  0.00814  0.00000  0.00814
   0.000    1.000  5.00252  0.00001  5.00252
   1.000    1.000  5.00274  0.00004  5.00274
   2.000    1.000  5.00256  0.00066  5.00256
   3.000    1.000  4.99985  0.00272  4.99985
   4.000    1.000  4.99135  0.00657  4.99135
   5.000    1.000  4.97324  0.01234  4.97325
   6.000    1.000  4.94169  0.01988  4.94173
   7.000    1.000  4.89347  0.02879  4.89356
   8.000    1.000  4.82641  0.03846  4.82657
   9.000    1.000  4.73963  0.04824  4.73988
  10.000    1.000  4.63355  0.05753  4.63390
  11.000    1.000  4.50966  0.06588  4.51015
  12.000    1.000  4.37026  0.07297  4.37087
  13.000    1.000  4.21803  0.07867  4.21877
  14.000    1.000  4.05582  0.08297  4.05667
  15.000    1.000  3.88638  0.08593  3.88733
  16.000    1.000  3.71229  0.08768  3.71332
  17.000    1.000  3.53585  0.08834  3.53696
  18.000    1.000  3.35910  0.08806  3.36025
  19.000    1.000  3.18376  0.08697  3.18495
  20.000    1.000  3.01132  0.08522  3.01253
  21.000    1.000  2.84299  0.08291  2.84420
  22.000    1.000  2.67975  0.08017  2.68095
  23.000    1.000  2.52236  0.07710  2.52354
  24.000    1.000  2.37140  0.07378  2.37255
  25.000    1.000  2.22728  0.07029  2.22839
  26.000    1.000  2.09024  0.06672  2.09131
  27.000    1.000  1.96041  0.06311  1.96142
  28.000    1.000  1.83779  0.05952  1.83875
  29.000    1.000  1.72230  0.05599  1.72321
  30.000    1.000  1.61379  0.05256  1.61465
  31.000    1.000  1.51206  0.04924  1.51286
  32.000    1.000  1.41683  0.04605  1.41758
  33.000    1.000  1.32783  0.04301  1.32852
  34.000    1.000  1.24475  0.04013  1.24539
  35.000    1.000  1.16727  0.03741  1.16787
  36.000    1.000  1.09506  0.03486  1.09562
  37.000    1.000  1.02782  0.03246  1.02833
  38.000    1.000  0.96522  0.03021  0.96569
  39.000    1.000  0.90695  0.02812  0.90738
  40.000    1.000  0.85272  0.02617  0.85312
  41.000    1.000  0.80225  0.02435  0.80262
  42.000    1.000  0.75528  0.02267  0.75562
  43.000    1.000  0.71155  0.02111  0.71186
  44.000    1.000  0.67082  0.01966  0.67111
  45.000    1.000  0.63288  0.01832  0.63315
  46.000    1.000  0.59753  0.01708  0.59777
  47.000    1.000  0.56456  0.01593  0.56478
  48.000    1.000  0.53380  0.01486  0.53401
  49.000    1.000  0.50509  0.01388  0.50528
  50.000    1.000  0.47827  0.01297  0.47845
  51.000    1.000  0.45321  0.01212  0.45338
  52.000    1.000  0.42978  0.01134  0.42993
  53.000    1.000  0.40784  0.01062  0.40798
  54.000    1.000  0.38731  0.00994  0.38743
  55.000    1.000  0.36806  0.00932  0.36818
  56.000    1.000  0.35001  0.00874  0.35012
  57.000    1.000  0.33308  0.00821  0.33318
  58.000    1.000  0.31717  0.00771  0.31727
  59.000    1.000  0.30223  0.00725  0.30232
  60.000    1.000  0.28818  0.00682  0.28826
  61.000    1.000  0.27495  0.00642  0.27503
  62.000    1.000  0.26250  0.00605  0.26257
  63.000    1.000  0.25076  0.00570  0.25083
  64.000    1.000  0.23970  0.00538  0.23976
  65.000    1.000  0.22926  0.00507  0.22931
  66.000    1.000  0.21940  0.00479  0.21945
  67.000    1.000  0.21008  0.00453  0.21013
  68.000    1.000  0.20127  0.00429  0.20132
  69.000    1.000  0.19294  0.00406  0.19298
  70.000    1.000  0.18505  0.00384  0.18509
  71.000    1.000  0.17757  0.00364  0.17761
  72.000    1.000  0.17049  0.00345  0.17052
  73.000    1.000  0.16377  0.00327  0.16380
  74.000    1.000  0.15739  0.00311  0.15742
  75.000    1.000  0.15133  0.00295  0.15136
  76.000    1.000  0.14558  0.00281  0.14560
  77.000    1.000  0.14011  0.00267  0.14013
  78.000    1.000  0.13490  0.00254  0.13493
  79.000    1.000  0.12995  0.00242  0.12997
  80.000    1.000  0.12523  0.00230  0.12525
  81.000    1.000  0.12074  0.00219  0.12076
  82.000    1.000  0.11645  0.00209  0.11647
  83.000    1.000  0.11237  0.00200  0.11238
  84.000    1.000  0.10847  0.00191  0.10848
  85.000    1.000  0.10474  0.00182  0.10476
  86.000    1.000  0.10119  0.00174  0.10120
  87.000    1.000  0.09779  0.00166  0.09780
  88.000    1.000  0.09454  0.00159  0.09455
  89.000    1.000  0.09143  0.00152  0.09144
  90.000    1.000  0.08845  0.00146  0.08846
  91.000    1.000  0.08560  0.00139  0.08561
  92.000    1.000  0.08287  0.00134  0.08288
  93.000    1.000  0.08026  0.00128  0.08027
  94.000    1.000  0.07775  0.00123  0.07776
  95.000    1.000  0.07535  0.00118  0.07536
  96.000    1.000  0.07304  0.00113  0.07305
  97.000    1.000  0.07083  0.00109  0.07083
  98.000    1.000  0.06870  0.00104  0.06871
  99.000    1.000  0.06666  0.00100  0.06667
 100.000    1.000  0.06469  0.00096  0.06470
 101.000    1.000  0.06281  0.00093  0.06281
 102.000    1.000  0.06099  0.00089  0.06100
 103.000    1.000  0.05925  0.00086  0.05925
 104.000    1.000  0.05757  0.00082  0.05757
 105.000    1.000  0.05595  0.00079  0.05595
 106.000    1.000  0.05439  0.00076  0.05440
 107.000    1.000  0.05289  0.00074  0.05290
 108.000    1.000  0.05144  0.00071  0.05145
 109.000    1.000  0.05005  0.00068  0.05005
 110.000    1.000  0.04870  0.00066  0.04871
 111.000    1.000  0.04741  0.00064  0.04741
 112.000    1.000  0.04616  0.00061  0.04616
 113.000    1.000  0.04495  0.00059  0.04495
 114.000    1.000  0.04378  0.00057  0.04378
 115.000    1.000  0.04265  0.00055  0.04266
 116.000    1.000  0.04157  0.00054  0.04157
 117.000    1.000  0.04051  0.00052  0.04052
 118.000    1.000  0.03950  0.00050  0.03950
 119.000    1.000  0.03851  0.00048  0.03852
 120.000    1.000  0.03756  0.00047  0.03757
 121.000    1.000  0.03664  0.00045  0.03665
 122.000    1.000  0.03575  0.00044  0.03576
 123.000    1.000  0.03489  0.00042  0.03489
 124.000    1.000  0.03406  0.00041  0.03406
 125.000    1.000  0.03325  0.00040  0.03325
 126.000    1.000  0.03247  0.00039  0.03247
 127.000    1.000  0.03171  0.00037  0.03171
 128.000    1.000  0.03097  0.00036  0.03098
 129.000    1.000  0.03026  0.00035  0.03026
 130.000    1.000  0.02957  0.00034  0.02957
 131.000    1.000  0.02890  0.00033  0.02890
 132.000    1.000  0.02825  0.00032  0.02825
 133.000    1.000  0.02762  0.00031  0.02762
 134.000    1.000  0.02701  0.00030  0.02701
 135.000    1.000  0.02641  0.00029  0.02641
 136.000    1.000  0.02584  0.00028  0.02584
 137.000    1.000  0.02528  0.00028  0.02528
 138.000    1.000  0.02473  0.00027  0.02473
 139.000    1.000  0.02420  0.00026  0.02420
 140.000    1.000  0.02369  0.00025  0.02369
 141.000    1.000  0.02319  0.00025  0.02319
 142.000    1.000  0.02270  0.00024  0.02270
 143.000    1.000  0.02223  0.00023  0.02223
 144.000    1.000  0.02177  0.00023  0.02177
 145.000    1.000  0.02133  0.00022  0.02133
 146.000    1.000  0.02089  0.00021  0.02089
 147.000    1.000  0.02047  0.00021  0.02047
 148.000    1.000  0.02006  0.00020  0.02006
 149.000    1.000  0.01966  0.00020  0.01966
 150.000    1.000  0.01927  0.00019  0.01927
 151.000    1.000  0.01889  0.00019  0.01889
 152.000    1.000  0.01852  0.00018  0.01852
 153.000    1.000  0.01816  0.00018  0.01816
 154.000    1.000  0.01781  0.00017  0.01781
 155.000    1.000  0.01746  0.00017  0.01747
 156.000    1.000  0.01713  0.00016  0.01713
 157.000    1.000  0.01681  0.00016  0.01681
 158.000    1.000  0.01649  0.00016  0.01649
 159.000    1.000  0.01618  0.00015  0.01618
 160.000    1.000  0.01588  0.00015  0.01588
 161.000    1.000  0.01559  0.00015  0.01559
 162.000    1.000  0.01530  0.00014  0.01530
 163.000    1.000  0.01502  0.00014  0.01502
 164.000    1.000  0.01475  0.00013  0.01475
 165.000    1.000  0.01448  0.00013  0.01448
 166.000    1.000  0.01422  0.00013  0.01422
 167.000    1.000  0.01397  0.00013  0.01397
 168.000    1.000  0.01372  0.00012  0.01372
 169.000    1.000  0.01348  0.00012  0.01348
 170.000    1.000  0.01324  0.00012  0.01324
 171.000    1.000  0.01301  0.00011  0.01301
 172.000    1.000  0.01279  0.00011  0.01279
 173.000    1.000  0.01257  0.00011  0.01257
 174.000    1.000  0.01235  0.00011  0.01235
 175.000    1.000  0.01214  0.00010  0.01214
 176.000    1.000  0.01193  0.00010  0.01193
 177.000    1.000  0.01173  0.00010  0.01173
 178.000    1.000  0.01154  0.00010  0.01154
 179.000    1.000  0.01134  0.00010  0.01135
 180.000    1.000  0.01116  0.00009  0.01116
 181.000    1.000  0.01097  0.00009  0.01097
 182.000    1.000  0.01079  0.00009  0.01079
 183.000    1.000  0.01062  0.00009  0.01062
 184.000    1.000  0.01045  0.00009  0.01045
 185.000    1.000  0.01028  0.00008  0.01028
 186.000    1.000  0.01011  0.00008  0.01011
 187.000    1.000  0.00995  0.00008  0.00995
 188.000    1.000  0.00979  0.00008  0.00979
 189.000    1.000  0.00964  0.00008  0.00964
 190.000    1.000  0.00949  0.00007  0.00949
 191.000    1.000  0.00934  0.00007  0.00934
 192.000    1.000  0.00919  0.00007  0.00919
 193.000    1.000  0.00905  0.00007  0.00905
 194.000    1.000  0.00891  0.00007  0.00891
 195.000    1.000  0.00878  0.00007  0.00878
 196.000    1.000  0.00864  0.00007  0.00864
 197.000    1.000  0.00851  0.00006  0.00851
 198.000    1.000  0.00838  0.00006  0.00838
 199.000    1.000  0.00826  0.00006  0.00826
 200.000    1.000  0.00813  0.00006  0.00814
   0.000    2.000  5.00208  0.00003  5.00208
   1.000    2.000  5.00287  0.00065  5.00287
   2.000    2.000  5.00435  0.00028  5.00435
   3.000    2.000  5.00412  0.00408  5.00412
   4.000    2.000  4.99856  0.01165  4.99857
   5.000    2.000  4.98338  0.02330  4.98344
   6.000    2.000  4.95431  0.03872  4.95446
   7.000    2.000  4.90775  0.05699  4.90808
   8.000    2.000  4.84135  0.07684  4.84196
   9.000    2.000  4.75423  0.09686  4.75521
  10.000    2.000  4.64698  0.11581  4.64842
  11.000    2.000  4.52135  0.13271  4.52330
  12.000    2.000  4.37989  0.14699  4.38236
  13.000    2.000  4.22552  0.15840  4.22848
  14.000    2.000  4.06121  0.16695  4.06464
  15.000    2.000  3.88984  0.17279  3.89368
  16.000    2.000  3.71402  0.17617  3.71819
  17.000    2.000  3.53606  0.17738  3.54051
  18.000    2.000  3.35800  0.17671  3.36265
  19.000    2.000  3.18157  0.17444  3.18635
  20.000    2.000  3.00822  0.17084  3.01306
  21.000    2.000  2.83915  0.16615  2.84401
  22.000    2.000  2.67533  0.16059  2.68015
  23.000    2.000  2.51752  0.15437  2.52225
  24.000    2.000  2.36626  0.14767  2.37087
  25.000    2.000  2.22195  0.14066  2.22640
  26.000    2.000  2.08483  0.13346  2.08909
  27.000    2.000  1.95499  0.12621  1.95906
  28.000    2.000  1.83243  0.11900  1.83629
  29.000    2.000  1.71706  0.11192  1.72070
  30.000    2.000  1.60871  0.10502  1.61214
  31.000    2.000  1.50717  0.09837  1.51037
  32.000    2.000  1.41216  0.09199  1.41515
  33.000    2.000  1.32339  0.08591  1.32617
  34.000    2.000  1.24055  0.08015  1.24313
  35.000    2.000  1.16331  0.07471  1.16570
  36.000    2.000  1.09135  0.06959  1.09356
  37.000    2.000  1.02434  0.06479  1.02639
  38.000    2.000  0.96196  0.06031  0.96385
  39.000    2.000  0.90392  0.05613  0.90566
  40.000    2.000  0.84990  0.05223  0.85150
  41.000    2.000  0.79963  0.04861  0.80111
  42.000    2.000  0.75285  0.04525  0.75421
  43.000    2.000  0.70929  0.04213  0.71054
  44.000    2.000  0.66873  0.03924  0.66988
  45.000    2.000  0.63095  0.03657  0.63201
  46.000    2.000  0.59574  0.03409  0.59671
  47.000    2.000  0.56290  0.03179  0.56380
  48.000    2.000  0.53227  0.02967  0.53309
  49.000    2.000  0.50367  0.02770  0.50443
  50.000    2.000  0.47696  0.02588  0.47766
  51.000    2.000  0.45200  0.02420  0.45264
  52.000    2.000  0.42865  0.02264  0.42925
  53.000    2.000  0.40680  0.02119  0.40735
  54.000    2.000  0.38634  0.01985  0.38685
  55.000    2.000  0.36716  0.01861  0.36763
  56.000    2.000  0.34918  0.01746  0.34962
  57.000    2.000  0.33230  0.01639  0.33271
  58.000    2.000  0.31646  0.01539  0.31683
  59.000    2.000  0.30156  0.01447  0.30191
  60.000    2.000  0.28755  0.01361  0.28788
  61.000    2.000  0.27437  0.01282  0.27467
  62.000    2.000  0.26196  0.01207  0.26224
  63.000    2.000  0.25026  0.01138  0.25052
  64.000    2.000  0.23923  0.01074  0.23947
  65.000    2.000  0.22882  0.01013  0.22904
  66.000    2.000  0.21899  0.00957  0.21920
  67.000    2.000  0.20970  0.00905  0.20989
  68.000    2.000  0.20091  0.00856  0.20110
  69.000    2.000  0.19260  0.00810  0.19277
  70.000    2.000  0.18473  0.00767  0.18489
  71.000    2.000  0.17728  0.00727  0.17743
  72.000    2.000  0.17021  0.00689  0.17035
  73.000    2.000  0.16351  0.00654  0.16364
  74.000    2.000  0.15715  0.00621  0.15727
  75.000    2.000  0.15111  0.00590  0.15122
  76.000    2.000  0.14536  0.00561  0.14547
  77.000    2.000  0.13991  0.00533  0.14001
  78.000    2.000  0.13471  0.00507  0.13481
  79.000    2.000  0.12977  0.00483  0.12986
  80.000    2.000  0.12506  0.00460  0.12515
  81.000    2.000  0.12058  0.00438  0.12066
  82.000    2.000  0.11630  0.00418  0.11638
  83.000    2.000  0.11223  0.00399  0.11230
  84.000    2.000  0.10833  0.00381  0.10840
  85.000    2.000  0.10462  0.00364  0.10468
  86.000    2.000  0.10107  0.00347  0.10113
  87.000    2.000  0.09767  0.00332  0.09773
  88.000    2.000  0.09443  0.00318  0.09448
  89.000    2.000  0.09133  0.00304  0.09138
  90.000    2.000  0.08836  0.00291  0.08840
  91.000    2.000  0.08551  0.00279  0.08556
  92.000    2.000  0.08279  0.00267  0.08283
  93.000    2.000  0.08018  0.00256  0.08022
  94.000    2.000  0.07768  0.00245  0.07771
  95.000    2.000  0.07527  0.00235  0.07531
  96.000    2.000  0.07297  0.00226  0.07301
  97.000    2.000  0.07076  0.00217  0.07079
  98.000    2.000  0.06864  0.00208  0.06867
  99.000    2.000  0.06660  0.00200  0.06663
 100.000    2.000  0.06464  0.00192  0.06467
 101.000    2.000  0.06275  0.00185  0.06278
 102.000    2.000  0.06094  0.00178  0.06097
 103.000    2.000  0.05920  0.00171  0.05922
 104.000    2.000  0.05752  0.00165  0.05754
 105.000    2.000  0.05590  0.00159  0.05593
 106.000    2.000  0.05435  0.00153  0.05437
 107.000    2.000  0.05285  0.00147  0.05287
