   z        r        Bz       Br       Btot
  111.00     0.00 -0.25161  0.00006  0.25161
  112.00     0.00 -0.24458  0.00002  0.24458
  113.00     0.00 -0.23762  0.00011  0.23762
  114.00     0.00 -0.23083  0.00004  0.23083
  115.00     0.00 -0.22444  0.00008  0.22444
  116.00     0.00 -0.21823  0.00015  0.21823
  117.00     0.00 -0.21219  0.00008  0.21219
  118.00     0.00 -0.20649  0.00002  0.20649
  119.00     0.00 -0.20107  0.00003  0.20107
  120.00     0.00 -0.19562  0.00001  0.19562
  121.00     0.00 -0.19060  0.00002  0.19060
  122.00     0.00 -0.18564  0.00002  0.18564
  123.00     0.00 -0.18066  0.00002  0.18066
  124.00     0.00 -0.17606  0.00003  0.17606
  125.00     0.00 -0.17156  0.00005  0.17156
  126.00     0.00 -0.16712  0.00002  0.16712
  127.00     0.00 -0.16308  0.00009  0.16308
  128.00     0.00 -0.15897  0.00005  0.15897
  129.00     0.00 -0.15490  0.00002  0.15490
  130.00     0.00 -0.15123  0.00000  0.15123
  131.00     0.00 -0.14756  0.00002  0.14756
  132.00     0.00 -0.14400  0.00001  0.14400
  133.00     0.00 -0.14061  0.00002  0.14061
  134.00     0.00 -0.13719  0.00002  0.13719
  135.00     0.00 -0.13398  0.00004  0.13398
  136.00     0.00 -0.13090  0.00003  0.13090
  137.00     0.00 -0.12779  0.00003  0.12779
  138.00     0.00 -0.12481  0.00002  0.12481
  139.00     0.00 -0.12199  0.00003  0.12199
  140.00     0.00 -0.11923  0.00000  0.11923
  141.00     0.00 -0.11654  0.00002  0.11654
  142.00     0.00 -0.11391  0.00002  0.11391
  143.00     0.00 -0.11142  0.00002  0.11142
  144.00     0.00 -0.10900  0.00001  0.10900
  145.00     0.00 -0.10665  0.00001  0.10665
  146.00     0.00 -0.10435  0.00001  0.10436
  147.00     0.00 -0.10205  0.00000  0.10206
  148.00     0.00 -0.09989  0.00001  0.09989
  149.00     0.00 -0.09778  0.00003  0.09778
    0.00     1.00 -4.70123  0.00029  4.70123
    1.00     1.00 -4.70008  0.00099  4.70008
    2.00     1.00 -4.69755  0.00091  4.69755
    3.00     1.00 -4.69467  0.00155  4.69467
    4.00     1.00 -4.69035  0.00353  4.69035
    5.00     1.00 -4.68206  0.00519  4.68207
    6.00     1.00 -4.67398  0.00532  4.67398
    7.00     1.00 -4.66591  0.00538  4.66591
